,age,synesthesia,annet,ishihara,stroop_correct,stroop_r_left,stroop_r_right,1_t_l,1_t_r,1_c_l,1_c_r,2_t_l,2_t_r,2_c_l,2_c_r,3_t_l,3_t_r,3_c_l,3_c_r,4_t_l,4_t_r,4_c_l,4_c_r,5_t_l,5_t_r,5_c_l,5_c_r,6_t_l,6_t_r,6_c_l,6_c_r
active_white_goose,27,yes,right,20,23,731.0833333333334,1037.3636363636363,768,1126,9,10,1299,1666,9,6,838,902,10,10,834,853,10,10,765,656,9,10,670,704,10,9
content_beige_panther,27,no,right,23,24,946.3333333333334,1136.8333333333333,863,920,10,10,1398,1135,9,9,1078,1145,10,10,1010,1016,10,10,1050,1190,10,9,808,660,10,10
content_beige_pigeon,26,no,right,23,24,573.75,681.3333333333334,1144,954,10,9,831,1019,10,9,1183,1361,10,9,756,777,10,10,675,718,10,10,493,518,10,10
courage_gray_ruff,22,no,right,21,22,721.3,809.5,1061,1130,10,10,1381,960,8,8,1317,815,9,9,882,865,10,10,614,778,10,10,498,491,9,10
cunning_rust_calf,27,no,right,23,24,1502.3333333333333,1689.5833333333333,1004,912,10,10,832,1034,10,9,1144,1184,10,10,855,1063,10,10,955,932,9,10,716,574,10,10
dense_violet_ferret,26,no,right,23,24,875.75,1063.5833333333333,1133,1195,10,10,1077,1201,10,10,1352,1372,10,8,937,769,10,10,732,808,10,9,624,637,9,10
determined_black_deer,32,no,left,21,24,1133.6666666666667,1179.9166666666667,1431,1584,10,10,1898,1437,4,1,998,1127,10,10,597,768,10,10,1246,1181,9,10,1158,1077,10,9
ecstatic_coral_goose,32,no,right,23,24,924.3333333333334,872.8333333333334,1388,1607,9,10,761,573,10,10,925,1304,10,9,742,692,10,10,841,826,10,10,514,527,10,9
excited_tan_pollock,22,no,right,21,23,643.0,843.5833333333334,576,632,10,10,966,1177,10,10,661,640,10,10,658,680,10,10,663,594,10,10,540,506,10,10
feebleminded_cyan_pike,21,no,left,20,24,809.9166666666666,1029.75,921,874,10,10,1072,1470,8,10,1087,1487,9,5,767,998,10,10,690,670,10,10,500,554,10,10
