,code,name,datetime,reaction,stroop,1_r_square_in,cL_r_square_in,cR_r_square_in,A_r_square_in,L_r_square_in,R_r_square_in,A_std_r_square_in,L_std_r_square_in,R_std_r_square_in,2_r_square_out,cL_r_square_out,cR_r_square_out,A_r_square_out,L_r_square_out,R_r_square_out,A_std_r_square_out,L_std_r_square_out,R_std_r_square_out,3_r_heart_in,cL_r_heart_in,cR_r_heart_in,A_r_heart_in,L_r_heart_in,R_r_heart_in,A_std_r_heart_in,L_std_r_heart_in,R_std_r_heart_in,4_r_heart_out,cL_r_heart_out,cR_r_heart_out,A_r_heart_out,L_r_heart_out,R_r_heart_out,A_std_r_heart_out,L_std_r_heart_out,R_std_r_heart_out,5_y_square_in,cL_y_square_in,cR_y_square_in,A_y_square_in,L_y_square_in,R_y_square_in,A_std_y_square_in,L_std_y_square_in,R_std_y_square_in,6_y_square_out,cL_y_square_out,cR_y_square_out,A_y_square_out,L_y_square_out,R_y_square_out,A_std_y_square_out,L_std_y_square_out,R_std_y_square_out,7_y_sun_in,cL_y_sun_in,cR_y_sun_in,A_y_sun_in,L_y_sun_in,R_y_sun_in,A_std_y_sun_in,L_std_y_sun_in,R_std_y_sun_in,8_y_sun_out,cL_y_sun_out,cR_y_sun_out,A_y_sun_out,L_y_sun_out,R_y_sun_out,A_std_y_sun_out,L_std_y_sun_out,R_std_y_sun_out,9_b_square_in,cL_b_square_in,cR_b_square_in,A_b_square_in,L_b_square_in,R_b_square_in,A_std_b_square_in,L_std_b_square_in,R_std_b_square_in,10_b_square_out,cL_b_square_out,cR_b_square_out,A_b_square_out,L_b_square_out,R_b_square_out,A_std_b_square_out,L_std_b_square_out,R_std_b_square_out,11_b_blob_in,cL_b_blob_in,cR_b_blob_in,A_b_blob_in,L_b_blob_in,R_b_blob_in,A_std_b_blob_in,L_std_b_blob_in,R_std_b_blob_in,12_b_blob_out,cL_b_blob_out,cR_b_blob_out,A_b_blob_out,L_b_blob_out,R_b_blob_out,A_std_b_blob_out,L_std_b_blob_out,R_std_b_blob_out
0,069632,bold_wheat_elephant,2024-05-08 21:24:15,438.58333333,954.62500000,12,6,6,536.91666667,533.00000000,540.83333333,99.07779631,77.55428207,116.56531312,12,6,6,598.33333333,542.00000000,654.66666667,147.02796408,117.21632423,152.14430285,12,6,6,480.83333333,480.33333333,481.33333333,60.36670348,72.16108523,45.61310728,12,6,6,503.75000000,481.83333333,525.66666667,134.74489786,111.06967283,151.70768676,11,6,5,645.63636364,628.50000000,666.20000000,84.08466807,90.75195131,69.97256605,11,5,6,547.36363636,509.20000000,579.16666667,66.52172950,53.95331315,58.83711036,11,6,5,565.36363636,571.00000000,558.60000000,67.89466806,74.35500431,58.50675175,12,6,6,533.25000000,547.00000000,519.50000000,55.61043817,65.80273551,38.43067351,10,5,5,670.80000000,668.60000000,673.00000000,77.56777681,106.52811835,25.99230655,12,6,6,485.00000000,477.50000000,492.50000000,51.08326536,43.84727282,56.42620550,12,6,6,523.41666667,541.66666667,505.16666667,107.09299567,109.96312513,100.89502245,12,6,6,486.75000000,501.50000000,472.00000000,75.01680367,82.95932738,62.75083001
1,090088,carefree_alizarin_starfish,2024-05-08 20:57:41,498.08333333,849.66666667,11,5,6,564.36363636,559.20000000,568.66666667,78.93181491,91.30038335,66.59496144,8,4,4,693.87500000,771.00000000,616.75000000,138.04748956,152.75470533,53.69997672,12,6,6,517.83333333,505.66666667,530.00000000,42.41036299,36.09555220,44.70272177,12,6,6,651.00000000,618.33333333,683.66666667,150.37951988,133.19367686,159.22695193,11,5,6,631.18181818,595.40000000,661.00000000,131.87240264,84.41232138,154.88167527,12,6,6,494.16666667,492.83333333,495.50000000,36.16589861,42.40446779,28.53506615,11,5,6,552.72727273,512.20000000,586.50000000,69.28871207,45.00399982,67.85708020,11,5,6,537.63636364,521.80000000,550.83333333,58.55575855,46.55920962,64.00368913,9,4,5,701.88888889,682.75000000,717.20000000,114.19519784,99.81576779,122.37221907,12,6,6,517.33333333,517.00000000,517.66666667,31.18582299,33.48133809,28.70346475,9,5,4,690.88888889,726.60000000,646.25000000,110.23958197,92.92922038,113.85160298,12,6,6,534.33333333,534.33333333,534.33333333,46.96511708,62.56907294,22.28352655
2,102524,civil_cinnabar_crocodile,2024-05-22 14:26:45,476.33333333,1204.95652174,12,6,6,474.83333333,473.16666667,476.50000000,42.67675662,56.19732101,21.88416475,12,6,6,509.08333333,491.16666667,527.00000000,59.26277406,55.03155660,57.91085103,12,6,6,507.25000000,530.00000000,484.50000000,73.78586698,72.80109889,67.48024402,12,6,6,501.75000000,529.50000000,474.00000000,68.94699051,70.58033248,54.64125426,11,5,6,574.09090909,606.60000000,547.00000000,66.68713185,64.21090250,55.70158585,12,6,6,467.08333333,480.50000000,453.66666667,41.41348076,51.63251559,20.10527847,12,6,6,536.00000000,562.50000000,509.50000000,70.32661895,83.81079883,38.24809363,12,6,6,476.41666667,501.16666667,451.66666667,54.92791994,63.14379533,28.66860459,11,6,5,631.90909091,651.66666667,608.20000000,135.30400420,163.70671608,84.17458049,12,6,6,456.66666667,470.83333333,442.50000000,73.72735057,92.60924480,43.51532297,11,5,6,533.00000000,541.80000000,525.66666667,146.44514952,138.21490513,152.57857721,12,6,6,487.08333333,469.66666667,504.50000000,125.04429771,157.04953217,77.46558376
3,121315,competitive_buff_chick,2024-05-07 19:05:59,533.41666667,912.50000000,12,6,6,525.25000000,553.33333333,497.16666667,76.98498230,84.26874997,56.34541291,12,6,6,521.91666667,551.16666667,492.66666667,63.84154647,53.20531511,60.07957686,12,6,6,495.41666667,509.66666667,481.16666667,42.97568757,24.59448899,51.79580635,12,6,6,463.66666667,471.83333333,455.50000000,45.30881690,37.91401090,50.34795593,12,6,6,633.08333333,609.83333333,656.33333333,98.84706903,90.36484690,101.46208925,12,6,6,557.91666667,538.33333333,577.50000000,67.59864192,44.79459293,79.78460587,12,6,6,605.25000000,624.50000000,586.00000000,114.88263939,143.32567809,71.50291369,12,6,6,574.58333333,580.16666667,569.00000000,84.67335111,51.17100959,107.97376224,9,5,4,610.00000000,597.80000000,625.25000000,111.09155383,83.66695883,136.37883817,12,6,6,470.91666667,489.16666667,452.66666667,41.11256566,46.45936098,23.57729605,8,5,3,662.62500000,642.40000000,696.33333333,110.77898887,112.09210499,99.83096825,12,6,6,453.75000000,467.83333333,439.66666667,34.48701446,34.62858485,27.98015170
4,146787,considerate_pink_squirrel,2024-05-20 15:24:58,535.41666667,739.83333333,12,6,6,500.58333333,510.00000000,491.16666667,72.69967714,54.57410864,86.10926521,12,6,6,477.91666667,458.66666667,497.16666667,55.44435399,42.05816079,60.31698674,12,6,6,423.33333333,422.66666667,424.00000000,34.27178950,44.34962107,19.52775802,12,6,6,491.08333333,464.50000000,517.66666667,93.46608862,86.65785212,92.46020165,12,6,6,575.58333333,596.16666667,555.00000000,73.11572828,65.43550684,74.58328678,12,6,6,475.16666667,473.83333333,476.50000000,45.64689353,52.74282468,37.17413976,12,6,6,493.58333333,480.50000000,506.66666667,61.27459824,52.37922616,66.50730954,12,6,6,443.33333333,462.50000000,424.16666667,39.50597704,36.99436894,31.90828872,8,4,4,689.25000000,732.00000000,646.50000000,125.81608601,109.55135782,126.50197627,12,6,6,571.08333333,536.66666667,605.50000000,67.49377543,42.50751568,70.24896203,8,6,2,657.75000000,679.83333333,591.50000000,114.85833666,122.62601228,42.50000000,12,6,6,538.83333333,540.00000000,537.66666667,70.37261936,78.14942951,61.59996392
5,149462,considerate_violet_moose,2024-05-22 12:22:28,545.66666667,898.60869565,12,6,6,579.75000000,584.00000000,575.50000000,66.68973559,72.89261508,59.54480106,12,6,6,580.83333333,592.66666667,569.00000000,72.62785661,79.69873831,62.59126670,11,6,5,504.54545455,508.83333333,499.40000000,76.89823693,84.65305009,66.04119926,12,6,6,555.91666667,583.66666667,528.16666667,81.04058483,82.42100595,69.29506155,12,6,6,603.16666667,601.33333333,605.00000000,92.00709514,83.60754884,99.66778149,12,6,6,536.83333333,557.66666667,516.00000000,74.18089751,74.15224579,68.11020482,12,6,6,574.58333333,543.66666667,605.50000000,82.59081702,66.32411996,85.62661191,12,6,6,554.16666667,548.00000000,560.33333333,105.79054253,86.68717706,121.62465028,12,6,6,603.00000000,632.83333333,573.16666667,125.69009508,142.16705744,98.00240927,11,5,6,540.72727273,615.00000000,478.83333333,105.82669444,112.18734331,40.19708392,12,6,6,692.66666667,694.16666667,691.16666667,143.30639282,144.33689372,142.25261177,12,6,6,593.75000000,641.16666667,546.33333333,127.82613517,106.43842769,129.81996080
6,176212,courteous_orchid_carp,2024-05-05 15:02:05,408.41666667,1073.69565217,12,6,6,623.66666667,636.66666667,610.66666667,100.77312252,82.32995945,114.86610563,10,5,5,689.60000000,754.20000000,625.00000000,149.32863088,116.80650667,150.35956903,11,5,6,542.36363636,509.40000000,569.83333333,83.17372042,49.11048768,94.93579702,12,6,6,587.66666667,606.50000000,568.83333333,87.13527159,82.08887460,87.96100778,12,6,6,627.50000000,612.50000000,642.50000000,70.27268317,64.17359270,72.85773809,12,6,6,512.08333333,509.66666667,514.50000000,70.30701522,44.50717795,88.84584027,12,6,6,513.16666667,512.00000000,514.33333333,103.74876171,91.13360156,114.97632607,12,6,6,462.33333333,455.66666667,469.00000000,44.46221867,48.27237535,39.17482185,8,4,4,775.00000000,738.00000000,812.00000000,142.54209904,108.07173544,161.92282112,12,6,6,563.16666667,567.00000000,559.33333333,136.64054628,120.92697521,150.62720722,8,5,3,753.62500000,728.80000000,795.00000000,121.70963140,137.74962795,71.67984375,12,6,6,531.66666667,573.66666667,489.66666667,89.80751020,83.00736246,75.58144981
7,185980,covetous_olive_seabass,2024-05-22 14:11:57,414.50000000,1009.13043478,12,6,6,489.00000000,492.00000000,486.00000000,71.54369294,48.54894438,88.66791979,12,6,6,612.41666667,587.33333333,637.50000000,129.16814515,89.96974800,154.97069615,12,6,6,499.66666667,493.00000000,506.33333333,51.63547446,44.08703513,57.44465936,12,6,6,521.58333333,543.00000000,500.16666667,132.86550740,178.85748517,48.98100539,11,5,6,654.81818182,667.80000000,644.00000000,117.26723032,59.40505029,148.36778626,12,6,6,559.50000000,560.50000000,558.50000000,150.32159969,147.03599333,153.53039873,11,5,6,618.27272727,592.40000000,639.83333333,148.93384188,140.04227933,152.64273830,11,5,6,554.18181818,619.00000000,500.16666667,104.52039225,116.31165032,48.33017231,11,5,6,766.63636364,736.20000000,792.00000000,87.94654650,81.70042840,84.86656193,12,6,6,498.08333333,485.50000000,510.66666667,86.36690949,80.12854256,90.45010902,11,6,5,599.18181818,587.50000000,613.20000000,172.46808305,156.11400749,189.29701530,12,6,6,438.66666667,455.66666667,421.66666667,65.86391695,66.87965975,60.20981832
8,206496,credulous_pear_wasp,2024-05-03 18:40:31,434.41666667,623.70833333,11,6,5,421.36363636,417.16666667,426.40000000,35.82348830,30.39416976,40.84409382,12,6,6,465.66666667,450.66666667,480.66666667,83.11872366,39.49964838,108.66104280,10,4,6,434.60000000,443.25000000,428.83333333,56.82464254,55.60744105,56.89586003,11,5,6,481.72727273,507.60000000,460.16666667,74.07133037,60.09525772,77.63035632,12,6,6,501.91666667,463.00000000,540.83333333,70.15157201,62.35115610,54.09071598,11,6,5,467.27272727,494.50000000,434.60000000,88.26004028,111.93562138,12.04325537,12,6,6,555.50000000,506.50000000,604.50000000,162.79562852,84.56506371,202.61190324,12,6,6,482.75000000,522.16666667,443.33333333,108.99092088,132.23264431,56.26030770,10,6,4,487.00000000,457.33333333,531.50000000,67.19226146,49.47277590,65.69056249,12,6,6,474.08333333,491.16666667,457.00000000,40.09874963,26.35284088,44.01893532,9,4,5,642.77777778,739.75000000,565.20000000,146.83836751,91.26986085,136.40146627,12,6,6,449.25000000,452.50000000,446.00000000,61.13526669,41.66033285,75.61966235
9,388417,faithful_smalt_chimpanzee,2024-05-21 15:41:03,631.91666667,1151.38095238,12,6,6,543.83333333,491.00000000,596.66666667,74.00882080,20.16597795,70.46433298,12,6,6,559.25000000,511.00000000,607.50000000,109.10936791,49.44357053,129.26297485,12,6,6,533.58333333,520.83333333,546.33333333,52.28042708,52.34633596,49.00226752,12,6,6,580.58333333,600.00000000,561.16666667,90.65636430,117.67894176,42.83463033,12,6,6,687.50000000,660.83333333,714.16666667,122.27734868,52.50529074,160.38850402,12,6,6,598.75000000,632.16666667,565.33333333,100.21819945,104.62220393,83.11571586,12,6,6,588.66666667,559.83333333,617.50000000,102.95252412,127.06614638,58.22299088,12,6,6,566.33333333,557.66666667,575.00000000,83.06256009,39.47854551,109.95453606,11,6,5,650.63636364,577.83333333,738.00000000,120.39878641,66.35364011,112.31562670,12,6,6,644.33333333,628.33333333,660.33333333,151.96454265,160.38252884,141.25115535,12,6,6,658.83333333,738.00000000,579.66666667,161.62963493,144.56717009,137.16373022,12,6,6,520.41666667,548.66666667,492.16666667,68.06303247,80.22606947,35.11133087
